Q3,Q5,hireability_HR_10,years_experience_H,prev_jobs_H,applicant_male,applicant_age,applicant_ethnicity,hireability_Software_10,years_experience_S,prev_jobs_S,Q226,Q227,Q228,male,male_10_TEXT,birth_year,race,educ,educ_8_TEXT,Q43,Q117,PROLIFIC_PID,Job,Cond,Name,Dates1,Dates2
6,ice,,,,,,,82,5,3,0,30,7,1,,52,2,5,,No,32,145,Software,Female Normal,Jessica Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,81,7,4,0,35,7,,,,,,,1,,69,2,3,,no,30,146,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
1,,,,,,,,,,,,,,,,,,,,,,147,,,,,
1,,,,,,,,,,,,,,,,,,,,,,1.48E+02,,,,,
6,ice,75,20,4,1,45,7,,,,,,,1,,42,2,5,,No,37,1.49E+02,HR,Male Treat,Samuel Brown,6 years,4 years
6,ice,,,,,,,91,6,2,1,28,7,0,,74,2,5,,no,33,150,Software,Male Normal,James Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,71,5,2,1,30,7,,,,,,,0,,64,2,6,,,32,151,HR,Male Treat,Samuel Brown,6 years,4 years
6,ice,50,7,3,1,39,5,,,,,,,1,,66,2,5,,no,32,152,HR,Male Treat,Samuel Brown,6 years,4 years
6,ice,,,,,,,100,8,3,1,32,4,0,,72,2,5,,,40,153,Software,Male Treat,James Smith,6 years,4 years
6,ice,60,4,2,0,27,6,,,,,,,1,,64,2,6,,No,40,154,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,100,6,3,1,33,7,1,,82,2,3,,no,34,155,Software,Male Normal,James Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,79,5,3,1,24,7,1,,73,2,5,,No,42,1.56E+02,Software,Male Treat,James Smith,6 years,4 years
6,ice,,,,,,,93,8,2,1,30,7,1,,70,2,5,,,33,1.57E+02,Software,Male Normal,James Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
1,,,,,,,,,,,,,,,,,,,,,,158,,,,,
6,ice,,,,,,,90,8,2,0,30,8,1,,53,2,7,,no,37,159,Software,Female Treat,Jessica Smith,6 years,4 years
6,ice,67,8,2,1,33,7,,,,,,,0,,57,2,8,Postgraduate diploma,no,37,160,HR,Male Normal,Samuel Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,100,6,2,1,32,7,,,,,,,0,,69,2,3,,no,40,161,HR,Male Normal,Samuel Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,81,9,2,1,30,7,0,,58,2,5,,No,40,162,Software,Male Normal,James Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,80,3,1,0,27,7,0,,72,2,7,,The only reason I wasnt sure about advancing her to the next stage was because her CV did not mention encryption experience,34,163,Software,Female Normal,Jessica Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,80,4,2,1,31,7,,,,,,,0,,73,2,999,,No.,40,1.64E+02,HR,Male Normal,Samuel Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,80,6,2,1,30,7,,,,,,,1,,65,2,5,,no,34,1.65E+02,HR,Male Normal,Samuel Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,94,15,3,0,29,8,0,,60,2,3,,no,43,166,Software,Female Treat,Jessica Smith,6 years,4 years
6,ice,100,6,2,0,31,7,,,,,,,0,,76,2,5,,,43,167,HR,Male Normal,Samuel Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,100,15,3,1,35,7,,,,,,,0,,79,2,5,,,40,168,HR,Male Treat,Samuel Brown,6 years,4 years
1,,,,,,,,,,,,,,,,,,,,,,169,,,,,
6,ice,72,10,1,0,30,6,,,,,,,0,,75,5,6,,No,33,170,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,90,10,2,0,34,7,1,,57,2,6,,No.,39,171,Software,Female Normal,Jessica Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
