CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
BA	Bosnia and Herzegovina	Bosnie-Herzégovine	Bosnien und Herzegowina	Y	
BA_CAP	Sarajevo	Sarajevo	Sarajevo	Y	
BA_DEL	Banja Luka	Banja Luka	Banja Luka	Y	
ME	Montenegro	Monténégro	Montenegro	Y	
ME0	Crna Gora	Crna Gora	Crna Gora	Y	
ME00	Crna Gora	Crna Gora	Crna Gora	Y	
ME000	Crna Gora	Crna Gora	Crna Gora	Y	
MEZ	Extra-Regio level 1	Extra-Regio niveau 1	Extra-Regio Ebene 1	Y	
MEZZ	Extra-Regio level 2	Extra-Regio niveau 2	Extra-Regio Ebene 2	Y	
MEZZZ	Extra-Regio level 3	Extra-Regio niveau 3	Extra-Regio Ebene 3	Y	
ME_CAP	Podgorica	Podgorica	Podgorica	Y	
MEX	Not regionalised/Unknown level 1	Non régionalisé/Inconnu niveau 1	Nicht regionalisiert/Unbekannte Ebene 1	Y	
MEXX	Not regionalised/Unknown level 2	Non régionalisé/Inconnu niveau 2	Nicht regionalisiert/Unbekannte Ebene 2	Y	
MEXXX	Not regionalised/Unknown level 3	Non régionalisé/Inconnu niveau 3	Nicht regionalisiert/Unbekannte Ebene 3	Y	
MD	Moldova	Moldavie	Moldau	Y	
MD_CAP	Chisinau	Chisinau	Chisinau	Y	
MK	North Macedonia	Macédoine du Nord	Nordmazedonien	Y	
MK0	Severna Makedonija	Severna Makedonija	Severna Makedonija	Y	
MK00	Severna Makedonija	Severna Makedonija	Severna Makedonija	Y	
MK001	Vardarski	Vardarski	Vardarski	Y	
MK002	Istočen	Istočen	Istočen	Y	
MK003	Jugozapaden	Jugozapaden	Jugozapaden	Y	
MK004	Jugoistočen	Jugoistočen	Jugoistočen	Y	
MK005	Pelagoniski	Pelagoniski	Pelagoniski	Y	
MK006	Pološki	Pološki	Pološki	Y	
MK007	Severoistočen	Severoistočen	Severoistočen	Y	
MK008	Skopski	Skopski	Skopski	Y	
MKZ	Extra-Regio level 1	Extra-Regio niveau 1	Extra-Regio Ebene 1	Y	
MKZZ	Extra-Regio level 2	Extra-Regio niveau 2	Extra-Regio Ebene 2	Y	
MKZZZ	Extra-Regio level 3	Extra-Regio niveau 3	Extra-Regio Ebene 3	Y	
MK_CAP	Skopje	Skopje	Skopje	Y	
MKX	Not regionalised/Unknown level 1	Non régionalisé/Inconnu niveau 1	Nicht regionalisiert/Unbekannte Ebene 1	Y	
MKXX	Not regionalised/Unknown level 2	Non régionalisé/Inconnu niveau 2	Nicht regionalisiert/Unbekannte Ebene 2	Y	
MKXXX	Not regionalised/Unknown level 3	Non régionalisé/Inconnu niveau 3	Nicht regionalisiert/Unbekannte Ebene 3	Y	
AL	Albania	Albanie	Albanien	Y	
AL0	Shqipëria	Shqipëria	Shqipëria	Y	
AL01	Veri	Veri	Veri	Y	
AL011	Dibër	Dibër	Dibër	Y	
AL012	Durrës	Durrës	Durrës	Y	
AL013	Kukës	Kukës	Kukës	Y	
AL014	Lezhë	Lezhë	Lezhë	Y	
AL015	Shkodër	Shkodër	Shkodër	Y	
AL02	Qender	Qender	Qender	Y	
AL021	Elbasan	Elbasan	Elbasan	Y	
AL022	Tiranë	Tiranë	Tiranë	Y	
AL03	Jug	Jug	Jug	Y	
AL031	Berat	Berat	Berat	Y	
AL032	Fier	Fier	Fier	Y	
AL033	Gjirokastër	Gjirokastër	Gjirokastër	Y	
AL034	Korçë	Korçë	Korçë	Y	
AL035	Vlorë	Vlorë	Vlorë	Y	
ALZ	Extra-Regio level 1	Extra-Regio niveau 1	Extra-Regio Ebene 1	Y	
ALZZ	Extra-Regio level 2	Extra-Regio niveau 2	Extra-Regio Ebene 2	Y	
ALZZZ	Extra-Regio level 3	Extra-Regio niveau 3	Extra-Regio Ebene 3	Y	
AL_CAP	Tiranë (Tirana)	Tiranë (Tirana)	Tiranë (Tirana)	Y	
ALX	Not regionalised/Unknown level 1	Non régionalisé/Inconnu niveau 1	Nicht regionalisiert/Unbekannte Ebene 1	Y	
ALXX	Not regionalised/Unknown level 2	Non régionalisé/Inconnu niveau 2	Nicht regionalisiert/Unbekannte Ebene 2	Y	
ALXXX	Not regionalised/Unknown level 3	Non régionalisé/Inconnu niveau 3	Nicht regionalisiert/Unbekannte Ebene 3	Y	
RS	Serbia	Serbie	Serbien	Y	
RS1	Srbija - sever	Srbija - sever	Srbija - sever	Y	
RS11	Beogradski region	Beogradski region	Beogradski region	Y	
RS110	Beogradska oblast	Beogradska oblast	Beogradska oblast	Y	
RS12	Region Vojvodine	Region Vojvodine	Region Vojvodine	Y	
RS121	Zapadnobacka oblast	Zapadnobacka oblast	Zapadnobacka oblast	Y	
RS122	Juznobanatska oblast	Juznobanatska oblast	Juznobanatska oblast	Y	
